DLiP-ID,C002HS
DLiP-Mol-ID,31335
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H11N3O3S/c16-10(15-18)6-9-7-19-12(13-9)14-11(17)8-4-2-1-3-5-8/h1-5,7,18H,6H2,(H,15,16)(H,13,14,17)"
Standard Inchi Key(RDKit),YMDYQWDQLZFIQV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Cc1csc(NC(=O)c2ccccc2)n1)NO
SMILES(SDF),
MW(SDF),
MW(RDKit),277.305
MW Monoisotopic(RDKit),277.052112212
MolLogP(RDKit),1.4433
XLogP(SDF),
XLogP(CDK),0.668
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),91.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.582309321146413
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,28775.468522416068
qed,0.5823093211464133
Chi0,13.664925939000156
Chi1,9.185871848001625
TPSA,91.32000000000001
Chi0n,9.79038045871581
Chi0v,10.606877039643535
Chi1n,5.425360607645568
Chi1v,6.305013418900462
Chi2n,3.675901675190926
Chi2v,4.5340045270489435
Chi3n,2.274563799984731
Chi3v,3.0811004032582985
Chi4n,1.4084253126770379
Chi4v,2.1137136733002677
