DLiP-ID,C002WS
DLiP-Mol-ID,33274
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H26N4O3S/c1-13-6-5-8-16(14(13)2)25-20(29)12-24-19(28)11-10-18-26-22(30)21-15-7-3-4-9-17(15)31-23(21)27-18/h5-6,8H,3-4,7,9-12H2,1-2H3,(H,24,28)(H,25,29)(H,26,27,30)"
Standard Inchi Key(RDKit),VCLWTTYTYNHNFW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccc(NC(=O)CNC(=O)CCc2nc(O)c3c4c(sc3n2)CCCC4)c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),438.553
MW Monoisotopic(RDKit),438.172561692
MolLogP(RDKit),3.58004
XLogP(SDF),
XLogP(CDK),2.396
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.545691511572694
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,12140781.854955584
qed,0.5456915115726937
Chi0,21.957454678884094
Chi1,14.918723993369943
