DLiP-ID,T001MQ
DLiP-Mol-ID,17409
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H27NO4S/c24-22(27-18-10-8-13-19-11-3-1-4-12-19)21-16-7-9-17-23(21)28(25,26)20-14-5-2-6-15-20/h1-6,11-12,14-15,21H,7-10,13,16-18H2"
Standard Inchi Key(RDKit),FROQCGUHFCMLBP-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(OCCCCc1ccccc1)C1CCCCN1S(=O)(=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),401.528
MW Monoisotopic(RDKit),401.166079344
MolLogP(RDKit),3.7959
XLogP(SDF),
XLogP(CDK),4.575
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),63.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.498586984339747
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,2539914.9845581804
qed,0.49858698433974663
Chi0,19.82178018849253
Chi1,13.587353528756823
TPSA,63.68
Chi0n,15.996162258397543
Chi0v,16.81265883932527
Chi1n,9.863225765920868
Chi1v,11.303289094721508
Chi2n,7.050590892031012
Chi2v,8.941145492903413
Chi3n,5.022493707499502
Chi3v,6.944892368342233
Chi4n,3.500941728044267
Chi4v,5.168758172414543
MolMR,108.31180000000005
MolWt,401.5280000000001
fr_SH,0
Kappa1,20.55159537976754
Kappa2,9.845601243441827
Kappa3,5.204481716061526
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,852.6201956020234
MolLogP,3.795900000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5369569303866928
SMR_VSA1,17.949197122200808
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,49.4622540422218
SMR_VSA6,13.151638370425493
SMR_VSA7,66.2271221763131
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,166.92776420816693
NHOHCount,0
PEOE_VSA1,4.736862953800049
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
