DLiP-ID,J000EI
DLiP-Mol-ID,27271
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H27N3O3/c1-30-21-8-2-5-18(14-21)25(29)26-15-19-13-17(10-11-23(19)31-20-6-3-7-20)22-16-28-12-4-9-24(28)27-22/h2,5,8,10-11,13-14,16,20H,3-4,6-7,9,12,15H2,1H3,(H,26,29)"
Standard Inchi Key(RDKit),VDRHHZQQKHUNMM-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(C(=O)NCc2cc(-c3cn4c(n3)CCC4)ccc2OC2CCC2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),417.509
MW Monoisotopic(RDKit),417.205241724
MolLogP(RDKit),4.3662
XLogP(SDF),
XLogP(CDK),4.59
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),65.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.620134770161913
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,18136765.40523741
qed,0.6201347701619128
Chi0,21.20853153444066
Chi1,15.191004483450632
TPSA,65.38
Chi0n,17.76507195340397
Chi0v,17.76507195340397
Chi1n,10.976802999629973
Chi1v,10.976802999629973
Chi2n,8.247217260351237
Chi2v,8.247217260351237
Chi3n,6.131976832699433
Chi3v,6.131976832699433
Chi4n,4.095935783267583
Chi4v,4.095935783267583
MolMR,118.41520000000003
MolWt,417.5090000000003
fr_SH,0
Kappa1,19.66979239849312
Kappa2,8.456018780679535
Kappa3,4.1506994481466055
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1079.641717219086
MolLogP,4.366200000000004
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3747697526763183
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,51.29758731420351
SMR_VSA6,7.109797541277533
SMR_VSA7,65.61272053223827
SMR_VSA8,0.0
SMR_VSA9,22.756403153113265
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
