DLiP-ID,T007ZD
DLiP-Mol-ID,26361
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N4O3/c1-21-15-7-5-4-6-11(15)12-8-9-20-14(16(12)21)10-13-17(24)22(2)19(26)23(3)18(13)25/h4-9,13H,10H2,1-3H3"
Standard Inchi Key(RDKit),ZJGQLXPNSVQUQB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1C(=O)C(Cc2nccc3c4ccccc4n(C)c23)C(=O)N(C)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),350.378
MW Monoisotopic(RDKit),350.137890436
MolLogP(RDKit),1.9356
XLogP(SDF),
XLogP(CDK),0.964
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),75.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.66205478241856
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,1061067.5288725158
qed,0.6620547824185599
Chi0,18.585057479767894
Chi1,12.41359135792094
TPSA,75.51
Chi0n,14.762157918905352
Chi0v,14.762157918905352
Chi1n,8.315970383557218
Chi1v,8.315970383557218
Chi2n,6.563772785929775
Chi2v,6.563772785929775
Chi3n,5.119713206924238
Chi3v,5.119713206924238
Chi4n,3.7072546089694995
Chi4v,3.7072546089694995
MolMR,96.35000000000005
MolWt,350.37800000000016
fr_SH,0
Kappa1,16.259367398907386
Kappa2,5.655285296213777
Kappa3,2.130111366463839
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1061.0177948974329
MolLogP,1.9355999999999998
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,1
BalabanJ,1.8415108430783336
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,19.35089763043952
SMR_VSA4,12.965578028838582
SMR_VSA5,6.4208216229260096
SMR_VSA6,14.09534396535438
SMR_VSA7,42.222606908769585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,2
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,149.3514514737052
NHOHCount,0
PEOE_VSA1,4.567099647791355
PEOE_VSA2,24.372872350791805
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,12.13273413692322
PEOE_VSA8,50.04983028911651
PEOE_VSA9,11.210628712464722
RingCount,4
SMR_VSA10,39.65132383520319
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,350.13789043599996
NumHDonors,0
PEOE_VSA10,5.917906046161393
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,0.0
SlogP_VSA2,51.291715566834974
SlogP_VSA3,23.057567973746842
SlogP_VSA4,5.917906046161393
SlogP_VSA5,5.693927994848461
SlogP_VSA6,36.52867891392113
SlogP_VSA7,0.0
SlogP_VSA8,21.805849864162113
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
