DLiP-ID,C003EE
DLiP-Mol-ID,33908
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C13H9N/c1-2-6-11-10(5-1)9-14-13-8-4-3-7-12(11)13/h1-9H
Standard Inchi Key(RDKit),RDOWQLZANAYVLL-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2c(c1)cnc1ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),179.222
MW Monoisotopic(RDKit),179.073499288
MolLogP(RDKit),3.388
XLogP(SDF),
XLogP(CDK),3.391
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),12.89
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.481897576118292
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,3408.8077627956786
qed,0.48189757611829237
Chi0,9.38046888862398
Chi1,6.949489742783178
TPSA,12.89
Chi0n,7.643366018206592
Chi0v,7.643366018206592
Chi1n,4.675181360471206
Chi1v,4.675181360471206
Chi2n,3.362598396830412
Chi2v,3.362598396830412
Chi3n,2.497732085058396
Chi3v,2.497732085058396
Chi4n,1.807924010348881
