DLiP-ID,I000NZ
DLiP-Mol-ID,28690
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16BrN3OS/c1-11(20)17(23)22-18-21-15(12-7-9-14(19)10-8-12)16(24-18)13-5-3-2-4-6-13/h2-11H,20H2,1H3,(H,21,22,23)/t11-/m0/s1"
Standard Inchi Key(RDKit),LETBSEIOGAQYDW-NSHDSACASA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)Nc1nc(-c2ccc(Br)cc2)c(-c2ccccc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.317
MW Monoisotopic(RDKit),401.019745232
MolLogP(RDKit),4.5253
XLogP(SDF),
XLogP(CDK),3.897
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),68.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.674151056629856
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,376641.9039896975
qed,0.6741510566298559
Chi0,17.10408352775558
Chi1,11.541713895658193
TPSA,68.01
Chi0n,12.992527610522798
Chi0v,15.395020730565228
Chi1n,7.4299778123870155
Chi1v,9.039472662872093
Chi2n,5.3475933122025365
Chi2v,7.262339607757009
Chi3n,3.4244939991104584
Chi3v,4.973033414376622
Chi4n,2.181419340333796
Chi4v,3.4417583229452093
MolMR,102.96509999999999
MolWt,402.31700000000006
fr_SH,0
Kappa1,16.82442762630243
Kappa2,7.253534859857665
Kappa3,3.721152340732827
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,844.4602500609437
MolLogP,4.525300000000002
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0625702231406056
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,12.965578028838586
