DLiP-ID,C000AF
DLiP-Mol-ID,30533
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H19NO6/c23-16-6-8-19(25)14(9-16)12-22(11-13-3-1-2-4-18(13)24)15-5-7-20(26)17(10-15)21(27)28/h1-10,23-26H,11-12H2,(H,27,28)"
Standard Inchi Key(RDKit),ULTTYPMRMMDONC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),381.384
MW Monoisotopic(RDKit),381.121237328
MolLogP(RDKit),3.414
XLogP(SDF),
XLogP(CDK),4.071
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),121.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.414848544628741
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1713180.912682126
qed,0.41484854462874077
Chi0,20.25878406613483
Chi1,13.346244348298509
TPSA,121.46000000000001
Chi0n,14.779246117732969
Chi0v,14.779246117732969
Chi1n,8.438745257566826
Chi1v,8.438745257566826
Chi2n,6.304394504459052
Chi2v,6.304394504459052
Chi3n,4.352797775310956
Chi3v,4.352797775310956
Chi4n,2.8848398624054634
Chi4v,2.8848398624054634
MolMR,102.8315
MolWt,381.38400000000007
fr_SH,0
Kappa1,18.90731100744621
Kappa2,7.791208920660057
Kappa3,4.093425397147493
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1017.5276882587899
MolLogP,3.414000000000002
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.0357650334320034
SMR_VSA1,30.327174158275348
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,13.08951281182515
SMR_VSA6,4.899909730850478
SMR_VSA7,77.3540251597071
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,4
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,160.53294240604205
NHOHCount,5
PEOE_VSA1,30.432546705054
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,42.46456947923127
PEOE_VSA8,29.903802069902703
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,11.656691562635412
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,4
ExactMolWt,381.12123732799995
NumHDonors,5
PEOE_VSA10,28.561498824832615
