DLiP-ID,C003BC
DLiP-Mol-ID,31191
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H26O3/c1-16-17(2)21(24)19(18(3)20(16)23)14-12-10-8-6-4-5-7-9-11-13-15-22/h22H,5,7-10,12,14-15H2,1-3H3"
Standard Inchi Key(RDKit),WDEABJKSGGRCQA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),326.436
MW Monoisotopic(RDKit),326.188194692
MolLogP(RDKit),3.5209
XLogP(SDF),
XLogP(CDK),3.087
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.461468511085458
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,168768.8977651264
qed,0.4614685110854585
Chi0,17.94938298937633
Chi1,11.502106417598542
TPSA,54.37
Chi0n,14.920564425920068
Chi0v,14.920564425920068
Chi1n,8.492243009447071
Chi1v,8.492243009447071
Chi2n,5.937682517031923
Chi2v,5.937682517031923
Chi3n,4.222196260012563
Chi3v,4.222196260012563
Chi4n,2.5579441332412456
Chi4v,2.5579441332412456
MolMR,96.04480000000004
MolWt,326.436
fr_SH,0
Kappa1,19.945662100456616
Kappa2,10.6327115530376
Kappa3,5.836141739394585
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,669.3430930968317
MolLogP,3.520900000000002
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.3125158806278834
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,65.71696295955395
SMR_VSA6,6.606881964512918
SMR_VSA7,22.29241812027707
SMR_VSA8,0.0
SMR_VSA9,23.681737275422577
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.76878483386608
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,17.761302956566933
PEOE_VSA6,5.920434318855644
PEOE_VSA7,46.454498090775914
PEOE_VSA8,41.554882989055095
PEOE_VSA9,0.0
RingCount,1
SMR_VSA10,11.566489892729878
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,0
ExactMolWt,326.18819469199997
NumHDonors,1
PEOE_VSA10,6.606881964512918
PEOE_VSA11,11.566489892729878
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
