DLiP-ID,T004DF
DLiP-Mol-ID,17777
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13Br2NO4/c1-21-11-4-3-5-12(22-2)13(11)15(20)18-8-6-9(16)14(19)10(17)7-8/h3-7,19H,1-2H3,(H,18,20)"
Standard Inchi Key(RDKit),NUKFFTYNCGYICJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1C(=O)Nc1cc(Br)c(O)c(Br)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),431.08
MW Monoisotopic(RDKit),428.921132096
MolLogP(RDKit),4.1867
XLogP(SDF),
XLogP(CDK),4.013
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),67.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.713416922736929
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transthyretin tetramer
Common Target Pref Name,Transthyretin tetramer
RDKit Descriptors
Ipc,77386.73898306124
qed,0.7134169227369295
Chi0,16.27565640300939
Chi1,10.472764210436896
TPSA,67.79
Chi0n,11.81463875885813
Chi0v,14.98663183708754
Chi1n,6.179157761618272
Chi1v,7.765154300732976
Chi2n,4.2801563939229545
Chi2v,5.988830192271996
Chi3n,2.9296501838356654
Chi3v,4.138626690364174
Chi4n,1.9062734352440682
Chi4v,3.0927296704447444
MolMR,91.00600000000001
MolWt,431.08000000000004
fr_SH,0
Kappa1,16.63727511527633
Kappa2,7.019949169073973
Kappa3,3.3601600439891417
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
