DLiP-ID,T000NT
DLiP-Mol-ID,16281
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H17N3O3S/c17-9-15(20)19-12-5-1-2-6-13(12)23-14(8-16(21)22)11-4-3-7-18-10-11/h1-7,10,14H,8-9,17H2,(H,19,20)(H,21,22)"
Standard Inchi Key(RDKit),BXELJEKZSJRZPT-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCC(=O)Nc1ccccc1SC(CC(=O)O)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),331.397
MW Monoisotopic(RDKit),331.099062404
MolLogP(RDKit),2.2869
XLogP(SDF),
XLogP(CDK),0.517
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),105.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.672301982912934
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,151737.63191981002
qed,0.6723019829129335
Chi0,16.656489770562878
Chi1,11.096555450524585
TPSA,105.31
Chi0n,12.306888316660862
Chi0v,13.123384897588588
Chi1n,6.971724975090618
Chi1v,7.8513777863455125
Chi2n,4.739174256960461
Chi2v,5.9837385167122745
Chi3n,3.0319861013964307
Chi3v,4.365265951890821
Chi4n,1.9797596454242776
Chi4v,3.190877735516013
MolMR,89.21390000000002
MolWt,331.397
