DLiP-ID,C000OW
DLiP-Mol-ID,25689
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,7-10H,5-6,11H2,1-2H3/q+1"
Standard Inchi Key(RDKit),YBHILYKTIRIUTE-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),336.367
MW Monoisotopic(RDKit),336.12303447609
MolLogP(RDKit),3.0963
XLogP(SDF),
XLogP(CDK),4.701
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),40.8
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.674490556794137
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1279721.2148625145
qed,0.6744905567941374
Chi0,16.96589084732138
Chi1,12.279519543128242
TPSA,40.8
Chi0n,14.16562871605281
Chi0v,14.16562871605281
Chi1n,8.29333981983898
Chi1v,8.29333981983898
Chi2n,6.2686616917109825
Chi2v,6.2686616917109825
Chi3n,5.0007251862408255
Chi3v,5.0007251862408255
Chi4n,3.768374317835423
Chi4v,3.768374317835423
MolMR,92.51000000000005
MolWt,336.3670000000001
fr_SH,0
Kappa1,14.397839862069473
Kappa2,5.275648027356567
Kappa3,2.049607604030209
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1012.4841662348883
MolLogP,3.096300000000001
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7524067385221962
SMR_VSA1,23.51455146299155
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,12.965578028838586
SMR_VSA6,21.012537388654895
SMR_VSA7,42.09213040561812
SMR_VSA8,0.0
SMR_VSA9,34.25542681968108
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,4
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.86701050779016
NHOHCount,0
PEOE_VSA1,18.947451815200196
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,4.567099647791355
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,35.21514398000823
PEOE_VSA8,12.487188691387619
PEOE_VSA9,25.169270788716858
RingCount,5
SMR_VSA10,10.772448428929591
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,336.1230344760899
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,35.73964731066127
PEOE_VSA12,12.486870300948288
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,23.51455146299155
SlogP_VSA2,21.012537388654895
SlogP_VSA3,12.965578028838586
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,36.52867891392113
SlogP_VSA7,0.0
SlogP_VSA8,22.029827915475046
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
