DLiP-ID,I000HO
DLiP-Mol-ID,28428
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H38N4O3/c1-17(27)24(31)29-23(19-10-3-2-4-11-19)26(33)30-16-8-15-22(30)25(32)28-21-14-7-12-18-9-5-6-13-20(18)21/h5-6,9,13,17,19,21-23H,2-4,7-8,10-12,14-16,27H2,1H3,(H,28,32)(H,29,31)/t17-,21-,22-,23-/m0/s1"
Standard Inchi Key(RDKit),IMFCXNHTXKDVDO-ZMVGRULKSA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]1CCCc2ccccc21)C1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),454.615
MW Monoisotopic(RDKit),454.294391076
MolLogP(RDKit),2.5835
XLogP(SDF),
XLogP(CDK),3.361
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),104.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.614426328642812
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,39695463.26011993
qed,0.614426328642812
Chi0,23.371668241257186
Chi1,15.952397498181154
TPSA,104.53
Chi0n,19.723635751839826
Chi0v,19.723635751839826
Chi1n,12.700370454273298
Chi1v,12.700370454273298
Chi2n,10.014899191812367
Chi2v,10.014899191812367
Chi3n,7.623052638585513
Chi3v,7.623052638585513
Chi4n,5.786940168269162
Chi4v,5.786940168269162
MolMR,127.15380000000006
MolWt,454.61500000000035
fr_SH,0
Kappa1,23.738288278499077
Kappa2,10.679277365265516
Kappa3,5.399055564340588
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,864.8478989752878
MolLogP,2.5835000000000017
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.4765497837749135
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,15.533486938863138
SMR_VSA4,11.651573523323577
SMR_VSA5,95.29931674554258
SMR_VSA6,6.544756405912575
SMR_VSA7,35.392371257240434
