DLiP-ID,C101SA
DLiP-Mol-ID,37226
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C30H32N4O3/c35-29(15-10-22-6-2-1-3-7-22)33-28(20-23-21-31-27-9-5-4-8-26(23)27)30(36)32-24-11-13-25(14-12-24)34-16-18-37-19-17-34/h1-9,11-14,21,28,31H,10,15-20H2,(H,32,36)(H,33,35)"
Standard Inchi Key(RDKit),OENHPPNGMAZPGU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CCc1ccccc1)NC(Cc1c[nH]c2ccccc12)C(=O)Nc1ccc(N2CCOCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),496.611
MW Monoisotopic(RDKit),496.247440884
MolLogP(RDKit),4.3033
XLogP(SDF),
XLogP(CDK),4.154
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),86.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),37
QED Weighted(RDKit),0.322485034871217
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumor necrosis factor ligand superfamily member 11/11A
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,448160988.3982541
qed,0.32248503487121744
Chi0,25.45117222155994
Chi1,18.152999680989847
TPSA,86.46
Chi0n,20.781959973041765
Chi0v,20.781959973041765
Chi1n,12.774670966818583
Chi1v,12.774670966818583
Chi2n,9.304865178973277
Chi2v,9.304865178973277
Chi3n,6.745301549371062
Chi3v,6.745301549371062
Chi4n,4.705236886379643
Chi4v,4.705236886379643
MolMR,146.80009999999987
MolWt,496.61100000000033
fr_SH,0
Kappa1,24.58807514633412
Kappa2,11.756338365221685
Kappa3,6.372074197707127
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1327.9724557920226
MolLogP,4.303300000000003
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.279608859753365
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,25.30430569792599
SMR_VSA6,36.5199750757078
SMR_VSA7,96.18651844500803
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,216.37615394182527
NHOHCount,3
PEOE_VSA1,25.2543284136104
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,47.87955994862805
PEOE_VSA8,54.40569711073842
PEOE_VSA9,13.213763929025836
RingCount,5
SMR_VSA10,34.092056940151195
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,496.24744088399996
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.53348693886314
SlogP_VSA2,49.14345554964916
SlogP_VSA3,27.16758056779571
SlogP_VSA4,0.0
SlogP_VSA5,17.54772460632
SlogP_VSA6,85.05961546161403
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
