DLiP-ID,C000CZ
DLiP-Mol-ID,30626
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H16N4O7S/c11-5(10(19)20)1-2-7(15)13-6(4-22-14-21)9(18)12-3-8(16)17/h5-6H,1-4,11H2,(H,12,18)(H,13,15)(H,16,17)(H,19,20)/t5-,6-/m1/s1"
Standard Inchi Key(RDKit),HYHSBSXUHZOYLX-PHDIDXHHSA-N
Canonical SMILES(RDKit),N[C@H](CCC(=O)N[C@H](CSN=O)C(=O)NCC(=O)O)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),336.326
MW Monoisotopic(RDKit),336.073969852
MolLogP(RDKit),-1.7213
XLogP(SDF),
XLogP(CDK),-4.366
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),188.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,2
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.21568940259943
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,36542.471145031814
qed,0.21568940259943029
Chi0,17.12095586463014
Chi1,10.272963365427639
TPSA,188.24999999999997
Chi0n,11.351608461598122
Chi0v,12.168105042525848
Chi1n,5.994049172517929
Chi1v,6.936547813377665
Chi2n,4.085350049864476
Chi2v,4.825953471444955
Chi3n,2.359061352450704
Chi3v,2.9468751396229695
Chi4n,1.2503637455538756
Chi4v,1.695001054409524
MolMR,75.67440000000002
MolWt,336.3260000000001
fr_SH,0
Kappa1,19.789999999999996
Kappa2,10.507267579339397
Kappa3,8.861116701571708
fr_ArN,0
fr_COO,2
fr_C_O,4
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,444.9909777977328
MolLogP,-1.7212999999999976
NOCount,11
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,4.46026650474459
SMR_VSA1,29.3912035259687
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,10.315855665466596
SMR_VSA5,24.925324904147942
SMR_VSA6,12.297610012659364
SMR_VSA7,4.907065243988282
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,128.65112054641915
NHOHCount,6
PEOE_VSA1,26.580299474856254
PEOE_VSA2,19.178148736287287
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,4.907065243988282
PEOE_VSA6,0.0
PEOE_VSA7,6.4208216229260096
PEOE_VSA8,28.703786384358406
PEOE_VSA9,0.0
RingCount,0
SMR_VSA10,35.700893000987904
fr_Al_COO,2
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,336.0739698519999
NumHDonors,5
PEOE_VSA10,18.628438064208495
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,11.938610575903699
SlogP_VSA1,16.367244685174846
SlogP_VSA2,58.3473164952434
SlogP_VSA3,19.178148736287287
SlogP_VSA4,4.907065243988282
SlogP_VSA5,12.841643245852019
SlogP_VSA6,4.582188188304411
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,1
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,42.38140809881521
EState_VSA2,18.59449685259881
EState_VSA3,11.947922966381196
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,15.215765396317071
EState_VSA9,15.946722266843596
SlogP_VSA10,0.0
SlogP_VSA11,0.0
