DLiP-ID,T004BD
DLiP-Mol-ID,17287
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16ClN5O3S/c1-11-10-14(17(20)16(19)18(11)25)23-22-12-5-7-13(8-6-12)28(26,27)24-15-4-2-3-9-21-15/h2-10,25H,20H2,1H3,(H,21,24)"
Standard Inchi Key(RDKit),NPQKWPKFRWMJFA-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(Cl)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),417.878
MW Monoisotopic(RDKit),417.066238052
MolLogP(RDKit),4.54742
XLogP(SDF),
XLogP(CDK),3.934
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),130.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.413795075546661
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4/NUT
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1685373.0728173817
qed,0.4137950755466609
Chi0,20.31119030894213
Chi1,13.275694130382421
TPSA,130.03
Chi0n,14.66506641829691
Chi0v,16.23749194524309
Chi1n,8.009257684474056
Chi1v,9.870385405077677
Chi2n,5.803232760082888
Chi2v,7.863599474501631
Chi3n,3.771126983558714
Chi3v,5.524368519883266
Chi4n,2.270313921418114
Chi4v,3.524486342006754
MolMR,107.9297
MolWt,417.87800000000016
fr_SH,0
Kappa1,19.587700678572965
