DLiP-ID,J000NB
DLiP-Mol-ID,27645
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18F3N3O2/c1-19(28,12-26-9-8-13-4-2-3-5-17(13)26)18(27)25-15-7-6-14(11-24)16(10-15)20(21,22)23/h2-7,10,28H,8-9,12H2,1H3,(H,25,27)/t19-/m1/s1"
Standard Inchi Key(RDKit),LUSHFZWMXXNPGO-LJQANCHMSA-N
Canonical SMILES(RDKit),C[C@@](O)(CN1CCc2ccccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),389.377
MW Monoisotopic(RDKit),389.135111476
MolLogP(RDKit),3.32928
XLogP(SDF),
XLogP(CDK),3.087
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),76.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.841144844895152
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,AR/unknown partner
Common Target Pref Name,AR/unknown partner
RDKit Descriptors
Ipc,1576282.6922041776
qed,0.8411448448951517
Chi0,20.526733258565955
Chi1,13.114340195725433
TPSA,76.36
Chi0n,15.046554723878444
Chi0v,15.046554723878444
Chi1n,8.596837702118144
Chi1v,8.596837702118144
Chi2n,6.8981713259449515
Chi2v,6.8981713259449515
Chi3n,4.674558360208292
Chi3v,4.674558360208292
Chi4n,3.234045391302002
Chi4v,3.234045391302002
MolMR,97.77150000000003
MolWt,389.37700000000007
fr_SH,0
Kappa1,19.704437717066927
Kappa2,7.168148059228239
Kappa3,3.9438447463666355
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,948.4425899213865
MolLogP,3.3292800000000016
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7636400797667962
SMR_VSA1,23.07230972193699
SMR_VSA2,5.261891554738487
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.121908151043794
SMR_VSA6,23.30621114668196
SMR_VSA7,59.15492395432226
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,1
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,159.55684068350328
NHOHCount,2
PEOE_VSA1,15.323225729697516
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,18.433136697762947
