DLiP-ID,C003BS
DLiP-Mol-ID,31265
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H11NO3/c15-12(16)9-14-8-4-7-11(14)13(17)10-5-2-1-3-6-10/h1-8H,9H2,(H,15,16)"
Standard Inchi Key(RDKit),IIBKYEGOAYTTFM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)Cn1cccc1C(=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),229.235
MW Monoisotopic(RDKit),229.073893212
MolLogP(RDKit),1.8037
XLogP(SDF),
XLogP(CDK),2.072
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.813118036550161
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,10487.790299912218
qed,0.8131180365501606
Chi0,12.25071237662706
Chi1,8.181540550352056
TPSA,59.3
Chi0n,9.036832706631197
Chi0v,9.036832706631197
Chi1n,5.149467336105533
Chi1v,5.149467336105533
Chi2n,3.6102178549077024
Chi2v,3.6102178549077024
Chi3n,2.4037562801929373
Chi3v,2.4037562801929373
Chi4n,1.6412367149197666
Chi4v,1.6412367149197666
MolMR,61.94230000000003
MolWt,229.23499999999999
fr_SH,0
Kappa1,11.135156363446079
Kappa2,4.653653089882842
Kappa3,2.4190467055233613
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,542.8020350046863
MolLogP,1.8037
NOCount,4
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.3187756272854076
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
