DLiP-ID,T000S4
DLiP-Mol-ID,16465
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H10Cl2N2O4/c12-5-2-1-3-6(13)9(5)10(17)15-7(11(18)19)4-8(14)16/h1-3,7H,4H2,(H2,14,16)(H,15,17)(H,18,19)/t7-/m0/s1"
Standard Inchi Key(RDKit),CFGADNMKHAGYEI-ZETCQYMHSA-N
Canonical SMILES(RDKit),NC(=O)C[C@H](NC(=O)c1c(Cl)cccc1Cl)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),305.117
MW Monoisotopic(RDKit),304.00176216
MolLogP(RDKit),1.0518
XLogP(SDF),
XLogP(CDK),0.968
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),109.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.754952757040173
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,10505.605877157894
qed,0.7549527570401734
Chi0,14.576985790260121
Chi1,8.824274960443892
TPSA,109.49
Chi0n,9.521745540044678
Chi0v,11.033603432081588
Chi1n,5.085787727152869
Chi1v,5.841716673171324
Chi2n,3.6313809106371293
