DLiP-ID,J100F3
DLiP-Mol-ID,37245
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16ClN3O2/c1-10-7-11(3-5-14(10)18)13(9-17(22)23)12-4-6-16-15(8-12)19-20-21(16)2/h3-8,13H,9H2,1-2H3,(H,22,23)"
Standard Inchi Key(RDKit),KAYDCNXQTQFWMU-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(C(CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),329.787
MW Monoisotopic(RDKit),329.093104432
MolLogP(RDKit),3.53672
XLogP(SDF),
XLogP(CDK),2.938
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),68.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.794618021867127
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,190460.40987753763
qed,0.794618021867127
Chi0,16.560113453385565
Chi1,10.952397498181154
TPSA,68.00999999999999
Chi0n,12.823625810986853
Chi0v,13.579554757005308
Chi1n,7.226360064158374
Chi1v,7.604324537167602
Chi2n,5.620271018979886
Chi2v,6.027471145720493
Chi3n,4.00021141228548
Chi3v,4.424290751577831
Chi4n,2.7618046282416144
Chi4v,2.879353179635484
MolMR,88.79380000000003
MolWt,329.78700000000003
fr_SH,0
Kappa1,15.49396193907119
Kappa2,6.006250000000001
Kappa3,3.0521908745400075
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,888.6759066358464
MolLogP,3.5367200000000016
NOCount,5
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,2.0894345802532612
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,7.04767198267719
SMR_VSA5,19.262464868778025
SMR_VSA6,0.0
SMR_VSA7,58.11119019960197
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,138.0492295147128
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.681802935145185
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,35.01342619127222
PEOE_VSA7,41.81319288016644
