DLiP-ID,C001QL
DLiP-Mol-ID,32774
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H20N2O3/c23-18-15-19(24)22(14-12-17-9-5-2-6-10-17)20(25)21(18)13-11-16-7-3-1-4-8-16/h1-10H,11-15H2"
Standard Inchi Key(RDKit),HSNSQMGDNFKEES-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),336.391
MW Monoisotopic(RDKit),336.1473925
MolLogP(RDKit),2.6527
XLogP(SDF),
XLogP(CDK),2.391
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),57.69
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.762166755426217
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,571570.6902429265
qed,0.7621667554262171
Chi0,17.648053602125596
Chi1,12.14786704554084
TPSA,57.690000000000005
Chi0n,13.928208660220506
Chi0v,13.928208660220506
Chi1n,8.3748359261484
Chi1v,8.3748359261484
Chi2n,6.0213010121689905
Chi2v,6.0213010121689905
Chi3n,4.3001865494782905
Chi3v,4.3001865494782905
Chi4n,2.89114012379557
Chi4v,2.89114012379557
MolMR,93.73100000000004
MolWt,336.3910000000001
fr_SH,0
Kappa1,16.89206067574051
Kappa2,7.747077961462139
Kappa3,4.121883839794097
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,695.5254379696011
MolLogP,2.652700000000001
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.6395483464795197
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,19.26246486877803
SMR_VSA6,13.08951281182515
SMR_VSA7,71.7905736680101
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,2
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,146.4064367277427
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,19.388893829844598
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,60.6636706846161
PEOE_VSA7,23.96854622924601
PEOE_VSA8,13.08951281182515
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.845473971041084
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,336.1473925
NumHDonors,0
PEOE_VSA10,6.4208216229260096
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,0.0
SlogP_VSA2,40.73480624456719
SlogP_VSA3,22.430717613995665
SlogP_VSA4,0.0
SlogP_VSA5,17.54772460632
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
