DLiP-ID,T004SE
DLiP-Mol-ID,21230
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H17N3O3/c1-26-14-16(18-10-4-5-11-20(18)26)13-19-22(28)25-24(30)27(23(19)29)21-12-6-8-15-7-2-3-9-17(15)21/h2-14H,1H3,(H,25,28,30)/b19-13-"
Standard Inchi Key(RDKit),OZSOIZBPXQYWQT-UYRXBGFRSA-N
Canonical SMILES(RDKit),Cn1cc(/C=C2/C(=O)NC(=O)N(c3cccc4ccccc34)C2=O)c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),395.418
MW Monoisotopic(RDKit),395.126991404
MolLogP(RDKit),3.9979
XLogP(SDF),
XLogP(CDK),4.041
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.411965365708273
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,10951907.789195424
qed,0.4119653657082731
Chi0,20.827698166887174
Chi1,14.541713895658198
TPSA,71.41
Chi0n,16.124725561856643
Chi0v,16.124725561856643
Chi1n,9.476954989962811
Chi1v,9.476954989962811
Chi2n,7.168621892264304
Chi2v,7.168621892264304
Chi3n,5.336819338384893
Chi3v,5.336819338384893
Chi4n,3.9230887919844393
Chi4v,3.9230887919844393
MolMR,115.86870000000003
MolWt,395.4180000000001
