DLiP-ID,C101YS
DLiP-Mol-ID,40634
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14O4/c1-19-13(9-8-11-6-4-3-5-7-11)15-12(17)10-14(20-2)16(15)18/h3-10H,1-2H3/b9-8+,15-13-"
Standard Inchi Key(RDKit),FITVJPYUOAZKPN-PBMBQWDMSA-N
Canonical SMILES(RDKit),COC1=CC(=O)/C(=C(\C=C\c2ccccc2)OC)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),270.284
MW Monoisotopic(RDKit),270.089208928
MolLogP(RDKit),2.2824
XLogP(SDF),
XLogP(CDK),2.382
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),52.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.478290111288112
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,PTPN9/STAT3
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,42192.41502687531
qed,0.478290111288112
Chi0,14.535169427003234
Chi1,9.668233757796587
TPSA,52.6
Chi0n,11.251795315372462
Chi0v,11.251795315372462
Chi1n,6.031710636090997
Chi1v,6.031710636090997
Chi2n,4.0934792491828835
Chi2v,4.0934792491828835
Chi3n,2.8723991368399213
Chi3v,2.8723991368399213
Chi4n,1.8663221010201125
Chi4v,1.8663221010201125
MolMR,74.61700000000003
MolWt,270.284
fr_SH,0
Kappa1,13.803415241764657
Kappa2,6.015106662419171
Kappa3,2.690681934550066
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,621.1367745570088
MolLogP,2.2824
