DLiP-ID,C003BA
DLiP-Mol-ID,33796
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H8N2O5/c13-10(11-6-7-2-1-5-16-7)8-3-4-9(17-8)12(14)15/h1-5H,6H2,(H,11,13)"
Standard Inchi Key(RDKit),ZGMGSSRLZJYOKH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCc1ccco1)c1ccc([N+](=O)[O-])o1
SMILES(SDF),
MW(SDF),
MW(RDKit),236.183
MW Monoisotopic(RDKit),236.043321356
MolLogP(RDKit),1.7108
XLogP(SDF),
XLogP(CDK),0.598
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),98.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.643060500888754
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,11690.31016991653
qed,0.6430605008887542
Chi0,12.25071237662706
Chi1,8.16470379794645
TPSA,98.52
Chi0n,8.582313174953951
Chi0v,8.582313174953951
Chi1n,4.7140861957143185
Chi1v,4.7140861957143185
Chi2n,3.1570346577688997
Chi2v,3.1570346577688997
Chi3n,1.9988250576500974
Chi3v,1.9988250576500974
Chi4n,1.2155109690459278
Chi4v,1.2155109690459278
MolMR,55.24060000000001
MolWt,236.18299999999996
fr_SH,0
Kappa1,10.931669782501954
Kappa2,4.518288187849228
Kappa3,2.5117369076776592
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,528.6484666777518
MolLogP,1.7108
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9702665384570932
SMR_VSA1,18.552150106996187
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,0.0
SMR_VSA7,52.16344437599995
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,2
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,95.17140008865948
NHOHCount,1
PEOE_VSA1,14.151090478113026
PEOE_VSA2,14.908855452837393
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,18.19910120538483
PEOE_VSA8,0.0
PEOE_VSA9,18.874286470013242
RingCount,2
SMR_VSA10,11.791361931212514
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,236.043321356
NumHDonors,1
PEOE_VSA10,10.683558467692112
PEOE_VSA11,5.760247418874442
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.884182201861009
SlogP_VSA1,5.316788604006331
SlogP_VSA2,10.830490778169176
SlogP_VSA3,6.544756405912575
SlogP_VSA4,10.114318268765572
SlogP_VSA5,16.315032021820706
