DLiP-ID,P0004M
DLiP-Mol-ID,23177
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16ClN3O2/c1-11-18-14-4-2-3-5-15(14)19(12-6-8-13(21)9-7-12)23-16(10-17(22)25)20(18)26-24-11/h2-9,16H,10H2,1H3,(H2,22,25)/t16-/m0/s1"
Standard Inchi Key(RDKit),GCWIQUVXWZWCLE-INIZCTEOSA-N
Canonical SMILES(RDKit),Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),365.82
MW Monoisotopic(RDKit),365.093104432
MolLogP(RDKit),4.07092
XLogP(SDF),
XLogP(CDK),3.855
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),81.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.759048141314415
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1114516.5838289158
qed,0.7590481413144149
Chi0,18.258784066134833
Chi1,12.541713895658196
TPSA,81.47999999999999
Chi0n,14.069497718019678
Chi0v,14.825426664038133
Chi1n,8.223086622532959
Chi1v,8.601051095542187
Chi2n,6.223652965907826
Chi2v,6.660088746379811
Chi3n,4.440426934358968
Chi3v,4.692403249698454
Chi4n,3.3006207152151212
Chi4v,3.426608872884864
MolMR,100.31940000000002
MolWt,365.8200000000001
fr_SH,0
Kappa1,16.54317136512477
Kappa2,6.4243792697759865
Kappa3,2.8016260075132022
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1021.7904900166321
MolLogP,4.070920000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9945795766378878
SMR_VSA1,9.31763212104517
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,10.726072209797854
SMR_VSA5,19.386399651764595
SMR_VSA6,0.0
SMR_VSA7,76.13464825855111
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,155.0298060106698
NHOHCount,2
PEOE_VSA1,10.256762414135533
PEOE_VSA2,9.786941916707491
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,53.155805558127625
PEOE_VSA7,24.619922828310838
PEOE_VSA8,16.149536297135317
