DLiP-ID,T004ZP
DLiP-Mol-ID,21712
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H25N3O2/c25-20(22-15-7-11-17-9-3-1-4-10-17)19-14-8-16-24(19)21(26)23-18-12-5-2-6-13-18/h1-6,9-10,12-13,19H,7-8,11,14-16H2,(H,22,25)(H,23,26)"
Standard Inchi Key(RDKit),PRNWTHFHLKRJRB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCCCc1ccccc1)C1CCCN1C(=O)Nc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),351.45
MW Monoisotopic(RDKit),351.19467704
MolLogP(RDKit),3.4319
XLogP(SDF),
XLogP(CDK),3.065
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.783422003417439
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,1339964.1861010743
qed,0.7834220034174394
Chi0,18.192023676495612
Chi1,12.737183443017884
TPSA,61.440000000000005
Chi0n,14.857203824632858
Chi0v,14.857203824632858
Chi1n,9.181679155268984
Chi1v,9.181679155268984
Chi2n,6.52777799644314
Chi2v,6.52777799644314
Chi3n,4.62565542232993
Chi3v,4.62565542232993
Chi4n,3.2657255943262746
Chi4v,3.2657255943262746
MolMR,102.96140000000004
MolWt,351.45000000000005
fr_SH,0
Kappa1,17.98560551795145
Kappa2,9.037757619952323
