DLiP-ID,T004JZ
DLiP-Mol-ID,19193
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N5O4S/c1-12-16(11-25)19(21-13(2)18(12)26)23-22-14-6-8-15(9-7-14)29(27,28)24-17-5-3-4-10-20-17/h3-10,25-26H,11H2,1-2H3,(H,20,24)"
Standard Inchi Key(RDKit),OJAXMILUMBFGAG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(CO)c(C)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),413.459
MW Monoisotopic(RDKit),413.115775088
MolLogP(RDKit),3.50754
XLogP(SDF),
XLogP(CDK),3.109
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),137.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.528912615121529
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4/NUT
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,2815218.4176540584
qed,0.5289126151215289
Chi0,21.018297090128677
Chi1,13.813698932843206
TPSA,137.13
Chi0n,15.733935379094895
Chi0v,16.550431960022618
Chi1n,8.571244796295073
Chi1v,10.054408043889465
Chi2n,6.1454723755994864
Chi2v,7.8278746170090026
Chi3n,4.16325243091914
Chi3v,5.53388736014823
Chi4n,2.5500513362892274
Chi4v,3.5583659807711387
MolMR,106.96210000000004
MolWt,413.4590000000002
fr_SH,0
Kappa1,20.366465226274137
Kappa2,8.331020640394952
Kappa3,4.553724787555902
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,1
BertzCT,1147.4670606508473
MolLogP,3.507540000000002
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.827124801973906
SMR_VSA1,18.63085177401035
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,10.228500251258795
SMR_VSA5,25.349839839411942
SMR_VSA6,4.722094864452088
SMR_VSA7,65.4822440290868
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,167.42559726161215
NHOHCount,3
PEOE_VSA1,10.213054789681411
PEOE_VSA2,4.722094864452088
PEOE_VSA3,18.385754026223353
PEOE_VSA4,0.0
PEOE_VSA5,10.228500251258795
PEOE_VSA6,6.06636706846161
PEOE_VSA7,50.24567681015091
PEOE_VSA8,17.323746555007066
PEOE_VSA9,22.883679709562717
RingCount,3
SMR_VSA10,27.3464029837612
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,413.11577508799996
NumHDonors,3
PEOE_VSA10,11.567374611118932
PEOE_VSA11,5.817862777835028
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,28.59880881590476
SlogP_VSA3,16.630173117920503
SlogP_VSA4,13.847474399381248
SlogP_VSA5,16.82083097824245
SlogP_VSA6,63.78539677762092
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
