DLiP-ID,T003RT
DLiP-Mol-ID,20730
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H17ClN4O2S2/c24-15-7-9-17(10-8-15)31-14-20-18(13-25-12-16-4-3-11-30-16)22(29)28(27-20)23-26-19-5-1-2-6-21(19)32-23/h1-11,13,27H,12,14H2/b25-13+"
Standard Inchi Key(RDKit),MCVUVXZGPCCVIY-DHRITJCHSA-N
Canonical SMILES(RDKit),O=c1c(/C=N/Cc2ccco2)c(CSc2ccc(Cl)cc2)[nH]n1-c1nc2ccccc2s1
SMILES(SDF),
MW(SDF),
MW(RDKit),481.002
MW Monoisotopic(RDKit),480.048145464
MolLogP(RDKit),5.9331
XLogP(SDF),
XLogP(CDK),4.32
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),76.18
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.231069583626246
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,41472479.148068175
qed,0.23106958362624602
Chi0,21.915638315627206
Chi1,15.669836433395455
TPSA,76.18
Chi0n,16.695015214013164
Chi0v,19.08393732188707
Chi1n,9.776282193446878
Chi1v,11.956341807037322
Chi2n,6.900505328125455
Chi2v,9.394794821107586
Chi3n,4.723684834927345
Chi3v,7.035742366472895
Chi4n,3.1448047391224345
Chi4v,5.055774719332632
MolMR,130.58669999999998
MolWt,481.0020000000001
fr_SH,0
Kappa1,20.811665818105727
Kappa2,9.196922654207189
Kappa3,4.4302881911084455
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1400.2334190947986
MolLogP,5.933100000000003
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
