DLiP-ID,C100NY
DLiP-Mol-ID,35885
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H21N3O6/c1-6(2)3-8(12(21)14-5-10(18)19)15-11(20)7(13)4-9(16)17/h6-8H,3-5,13H2,1-2H3,(H,14,21)(H,15,20)(H,16,17)(H,18,19)/t7-,8-/m0/s1"
Standard Inchi Key(RDKit),AYFVRYXNDHBECD-YUMQZZPRSA-N
Canonical SMILES(RDKit),CC(C)C[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)NCC(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),303.315
MW Monoisotopic(RDKit),303.143035392
MolLogP(RDKit),-1.4799
XLogP(SDF),
XLogP(CDK),-3.402
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),158.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.347075268794502
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,17631.308882156056
qed,0.34707526879450207
Chi0,16.57698579026012
Chi1,9.628805413084205
TPSA,158.82
Chi0n,11.958141773173516
Chi0v,11.958141773173516
