DLiP-ID,C000CD
DLiP-Mol-ID,30603
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H25NO4/c1-5-25-20(23)18-14(3)22-15(4)19(21(24)26-6-2)17(18)13-12-16-10-8-7-9-11-16/h7-13,17,23H,5-6H2,1-4H3/b13-12+,20-18+"
Standard Inchi Key(RDKit),LTZHSBVHIKMMIM-GZHXFNRCSA-N
Canonical SMILES(RDKit),CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1/C=C/c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),355.434
MW Monoisotopic(RDKit),355.17835828
MolLogP(RDKit),4.4337
XLogP(SDF),
XLogP(CDK),4.201
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),68.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.605195142306533
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,548466.6192758085
qed,0.6051951423065328
Chi0,19.104083527755574
Chi1,12.489600962842504
TPSA,68.12
Chi0n,15.652187778281611
Chi0v,15.652187778281611
Chi1n,8.718132333482517
Chi1v,8.718132333482517
Chi2n,5.8160807676229815
Chi2v,5.8160807676229815
Chi3n,4.024503574155794
Chi3v,4.024503574155794
Chi4n,2.916140648879537
Chi4v,2.916140648879537
MolMR,102.68880000000003
MolWt,355.434
fr_SH,0
Kappa1,19.504010505712255
Kappa2,9.037757619952323
Kappa3,4.418927298731208
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,772.4606330253457
MolLogP,4.4337000000000035
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.55094911652129
SMR_VSA1,19.374790486512623
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,10.910310778797061
SMR_VSA5,27.694948798762496
SMR_VSA6,13.213763929025836
SMR_VSA7,64.75978052727638
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,153.9090633824777
NHOHCount,1
PEOE_VSA1,14.580253302440804
PEOE_VSA2,4.992404732635669
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.483875555975814
PEOE_VSA7,33.25840029045949
PEOE_VSA8,17.32663036198793
PEOE_VSA9,24.359972989164373
RingCount,2
SMR_VSA10,17.75701039755643
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,355.17835828
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.945225213243084
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,30.001281614589093
SlogP_VSA3,14.268263091671919
SlogP_VSA4,5.917906046161393
SlogP_VSA5,33.25840029045949
SlogP_VSA6,64.18873376821506
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
