DLiP-ID,T000DM
DLiP-Mol-ID,15830
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C7H6N2/c1-2-4-7-6(3-1)5-8-9-7/h1-5H,(H,8,9)"
Standard Inchi Key(RDKit),BAXOFTOLAUCFNW-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2[nH]ncc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),118.139
MW Monoisotopic(RDKit),118.053098192
MolLogP(RDKit),1.5629
XLogP(SDF),
XLogP(CDK),2.148
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),28.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),9
QED Weighted(RDKit),0.558372836587113
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rad51/BRCA2
Common Target Pref Name,Rad51/BRCA2
RDKit Descriptors
Ipc,254.268989977729
qed,0.5583728365871126
Chi0,6.104448006685086
Chi1,4.4663264951887856
TPSA,28.68
Chi0n,4.833964941448087
Chi0v,4.833964941448087
Chi1n,2.8478310912815794
Chi1v,2.8478310912815794
Chi2n,1.9572527372715274
Chi2v,1.9572527372715274
Chi3n,1.3494266681046465
