DLiP-ID,T000TC
DLiP-Mol-ID,16508
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H17Cl2N5O3S/c1-31-20-24-7-6-16(27-20)26-15(19(29)30)8-11-2-4-12(5-3-11)25-18(28)17-13(21)9-23-10-14(17)22/h2-7,9-10,15H,8H2,1H3,(H,25,28)(H,29,30)(H,24,26,27)/t15-/m0/s1"
Standard Inchi Key(RDKit),CIAXCVHHHHIVPF-HNNXBMFYSA-N
Canonical SMILES(RDKit),CSc1nccc(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),478.361
MW Monoisotopic(RDKit),477.042915764
MolLogP(RDKit),4.2604
XLogP(SDF),
XLogP(CDK),1.084
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),117.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.324908267396883
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,7666752.232200769
qed,0.3249082673968829
Chi0,22.38010440969447
Chi1,14.867412398353684
TPSA,117.1
Chi0n,16.172787403303058
Chi0v,18.501141876267692
Chi1n,8.927486951820738
Chi1v,10.908160769230781
Chi2n,6.297057609180835
Chi2v,7.8848545247960224
Chi3n,4.168369442466425
Chi3v,5.303358649991939
Chi4n,2.6798321594342993
Chi4v,3.572030858936321
MolMR,121.21570000000001
MolWt,478.36100000000016
fr_SH,0
Kappa1,22.79737020047301
Kappa2,10.429399544917118
Kappa3,6.064748875018146
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1078.1783467678042
MolLogP,4.260400000000002
NOCount,8
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.678495602531208
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,17.619098933894676
SMR_VSA6,16.889346391524064
SMR_VSA7,70.09453566802392
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,191.97589084507578
NHOHCount,3
PEOE_VSA1,15.740104602853368
PEOE_VSA2,9.77851570501903
PEOE_VSA3,14.76249422596624
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,47.09649886677937
PEOE_VSA7,30.018321880593227
PEOE_VSA8,30.6987386124488
PEOE_VSA9,15.608718119179649
RingCount,3
SMR_VSA10,58.34549879967809
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,477.042915764
NumHDonors,3
PEOE_VSA10,11.85970360698299
PEOE_VSA11,5.156436481820707
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
