DLiP-ID,C1009R
DLiP-Mol-ID,34797
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H19ClN2O2S/c22-16-8-6-14(7-9-16)17-18(21(25)24-10-12-26-13-11-24)20(23)27-19(17)15-4-2-1-3-5-15/h1-9H,10-13,23H2"
Standard Inchi Key(RDKit),XLXZIUDYPPGFDJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1sc(-c2ccccc2)c(-c2ccc(Cl)cc2)c1C(=O)N1CCOCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),398.915
MW Monoisotopic(RDKit),398.085576528
MolLogP(RDKit),4.7901
XLogP(SDF),
XLogP(CDK),4.173
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),55.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.68960909279801
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,2422388.65877027
qed,0.6896090927980103
Chi0,18.802754140504845
Chi1,13.147867045540842
TPSA,55.56
Chi0n,14.651852756543226
Chi0v,16.224278283489408
Chi1n,8.755493213337381
Chi1v,9.949954267274332
Chi2n,6.322928575945324
Chi2v,7.811563197740552
Chi3n,4.61651764102325
Chi3v,5.936481855267766
Chi4n,3.2704087410672202
Chi4v,4.483653629023447
MolMR,111.33590000000004
MolWt,398.91500000000025
fr_SH,0
Kappa1,18.043392700015527
Kappa2,7.72376642205087
Kappa3,3.5829870696127566
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,948.3178847069655
MolLogP,4.790100000000004
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8834591911190381
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,32.03694421801317
SMR_VSA7,65.18338842159281
SMR_VSA8,0.0
SMR_VSA9,21.567501668792286
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
