DLiP-ID,T004HF
DLiP-Mol-ID,18652
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H31NO3/c25-21(16-8-7-12-18-10-3-1-4-11-18)20-15-9-17-24(20)23(27)22(26)19-13-5-2-6-14-19/h1,3-4,10-11,19-20H,2,5-9,12-17H2/t20-/m0/s1"
Standard Inchi Key(RDKit),ODAZBZGOTQMIEQ-FQEVSTJZSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCC[C@H]1C(=O)CCCCc1ccccc1)C1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),369.505
MW Monoisotopic(RDKit),369.230393852
MolLogP(RDKit),4.1089
XLogP(SDF),
XLogP(CDK),4.511
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),54.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.511780726740383
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,2107281.9697986534
qed,0.5117807267403832
Chi0,19.06226716449869
Chi1,13.16470379794645
TPSA,54.45
Chi0n,16.198691725457504
Chi0v,16.198691725457504
Chi1n,10.580291413500493
Chi1v,10.580291413500493
Chi2n,8.014775996710558
Chi2v,8.014775996710558
Chi3n,6.053525727831526
Chi3v,6.053525727831526
Chi4n,4.4651190669749115
Chi4v,4.4651190669749115
MolMR,105.32100000000008
MolWt,369.50500000000017
fr_SH,0
Kappa1,19.782277959746295
Kappa2,9.817776076139715
Kappa3,5.272696910947898
fr_ArN,0
fr_COO,0
fr_C_O,3
