DLiP-ID,C000GO
DLiP-Mol-ID,30787
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24ClN5O2/c23-15-6-7-20-18(14-15)25-22(30)28(20)16-8-12-26(13-9-16)10-3-11-27-19-5-2-1-4-17(19)24-21(27)29/h1-2,4-7,14,16H,3,8-13H2,(H,24,29)(H,25,30)"
Standard Inchi Key(RDKit),FGXWKSZFVQUSTL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),425.92
MW Monoisotopic(RDKit),425.161852688
MolLogP(RDKit),3.3532
XLogP(SDF),
XLogP(CDK),2.37
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),78.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.514301695573136
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,12343200.702512827
qed,0.514301695573136
Chi0,20.664561460070644
Chi1,14.597356788324023
TPSA,78.82
Chi0n,16.60465146225967
Chi0v,17.360580408278125
Chi1n,10.39664839361284
Chi1v,10.77461286662207
Chi2n,7.986933394236682
Chi2v,8.423369174708666
Chi3n,6.138449688540684
Chi3v,6.3735467913284225
Chi4n,4.6481664107991785
Chi4v,4.820269434752047
MolMR,119.45540000000001
MolWt,425.92000000000013
fr_SH,0
Kappa1,19.20880085457703
Kappa2,7.812409595225632
Kappa3,3.4812027806465258
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1306.5523076910547
MolLogP,3.353200000000002
NOCount,7
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.207580166237282
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,24.002066068327604
SMR_VSA4,0.0
SMR_VSA5,31.849062103838566
SMR_VSA6,19.634269217737724
SMR_VSA7,68.45576395752319
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,2
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,177.4292360249599
NHOHCount,2
PEOE_VSA1,14.867866772744893
