DLiP-ID,C101P9
DLiP-Mol-ID,40291
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H22ClN7O2/c1-20(2,30)7-10-27-16-11-13(5-6-15(16)26(3)19(27)29)24-17-14(21)12-22-18(25-17)28-9-4-8-23-28/h4-6,8-9,11-12,30H,7,10H2,1-3H3,(H,22,24,25)"
Standard Inchi Key(RDKit),RXLWKUXCLVOOHE-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cn1c(=O)n(CCC(C)(C)O)c2cc(Nc3nc(-n4cccn4)ncc3Cl)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),427.896
MW Monoisotopic(RDKit),427.152350624
MolLogP(RDKit),2.8737
XLogP(SDF),
XLogP(CDK),2.408
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),102.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.490145987868712
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCL-6/NCOR2
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,6738239.398044557
qed,0.4901459878687122
Chi0,21.465890847321376
Chi1,14.226165307525706
TPSA,102.78999999999999
Chi0n,16.872373378673274
Chi0v,17.62830232469173
Chi1n,9.440534655811975
Chi1v,9.818499128821202
Chi2n,7.701335682850025
Chi2v,8.10853580959063
Chi3n,4.796056887387251
Chi3v,5.072653438407263
Chi4n,3.1693692801079743
Chi4v,3.307667555617981
MolMR,115.54050000000002
MolWt,427.89600000000013
fr_SH,0
Kappa1,20.116988993052484
Kappa2,7.581901374074105
Kappa3,3.939007416942018
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,6
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1252.8752048757372
MolLogP,2.8737000000000013
NOCount,9
fr_Ar_N,6
fr_COO2,0
fr_urea,0
BalabanJ,1.7049271556833494
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,28.88264108092335
SMR_VSA4,7.04767198267719
SMR_VSA5,32.41410323920352
SMR_VSA6,5.316788604006331
SMR_VSA7,58.36291288470228
SMR_VSA8,0.0
SMR_VSA9,5.948339280986494
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,177.12107380647467
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,9.13419929558271
PEOE_VSA3,14.460318640164214
PEOE_VSA4,10.082660329248245
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,44.5337642961537
PEOE_VSA8,31.67350180649948
PEOE_VSA9,22.831295817829286
RingCount,4
SMR_VSA10,34.13959037798363
fr_Al_COO,0
