DLiP-ID,C0019E
DLiP-Mol-ID,32023
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13N5/c1-8-17-11-4-2-9(6-13(11)18-8)15-19-12-5-3-10(16)7-14(12)20-15/h2-7H,16H2,1H3,(H,17,18)(H,19,20)"
Standard Inchi Key(RDKit),IKRLPAYIOFBMEW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nc2ccc(-c3nc4cc(N)ccc4[nH]3)cc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),263.304
MW Monoisotopic(RDKit),263.117095416
MolLogP(RDKit),2.99682
XLogP(SDF),
XLogP(CDK),1.984
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),83.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.46150166197387
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,77922.06593783724
qed,0.4615016619738701
Chi0,13.689869965382487
Chi1,9.686673185801062
TPSA,83.38
Chi0n,10.935879075327298
Chi0v,10.935879075327298
Chi1n,6.4091700690199005
Chi1v,6.4091700690199005
Chi2n,4.916138485929467
Chi2v,4.916138485929467
Chi3n,3.38083198786848
Chi3v,3.38083198786848
Chi4n,2.444032926737395
Chi4v,2.444032926737395
MolMR,80.33080000000001
MolWt,263.304
fr_SH,0
Kappa1,11.044291741030428
Kappa2,3.835039475725175
Kappa3,1.6370387410671015
fr_ArN,1
