DLiP-ID,C000RP
DLiP-Mol-ID,31269
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H"
Standard Inchi Key(RDKit),CXQWRCVTCMQVQX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O
SMILES(SDF),
MW(SDF),
MW(RDKit),304.254
MW Monoisotopic(RDKit),304.058302724
MolLogP(RDKit),1.1863
XLogP(SDF),
XLogP(CDK),1.449
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),127.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.500530875629632
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,86490.52306625951
qed,0.5005308756296323
Chi0,16.016143379015546
Chi1,10.37991785310972
TPSA,127.45000000000002
Chi0n,11.0940164427549
Chi0v,11.0940164427549
Chi1n,6.349994644221253
Chi1v,6.349994644221253
Chi2n,4.933723365589939
Chi2v,4.933723365589939
Chi3n,3.4498537073375113
Chi3v,3.4498537073375113
Chi4n,2.3815940923174512
Chi4v,2.3815940923174512
MolMR,73.24950000000001
MolWt,304.25399999999996
fr_SH,0
Kappa1,14.026132168654264
Kappa2,4.8145622351868544
Kappa3,2.07696343165375
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,768.7265466155635
MolLogP,1.1862999999999995
NOCount,7
