DLiP-ID,T0082A
DLiP-Mol-ID,26478
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H19N3O2/c27-23(25-20-13-6-11-18-10-4-5-12-19(18)20)26-22-21(14-7-15-24-22)28-16-17-8-2-1-3-9-17/h1-15H,16H2,(H2,24,25,26,27)"
Standard Inchi Key(RDKit),ZOSDHIMKMQDBRY-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ncccc1OCc1ccccc1)Nc1cccc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),369.424
MW Monoisotopic(RDKit),369.147726848
MolLogP(RDKit),5.4578
XLogP(SDF),
XLogP(CDK),4.849
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),63.25
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.491050651001104
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,3896571.728650918
qed,0.4910506510011042
Chi0,19.183587508058334
Chi1,13.79282633568371
TPSA,63.25
Chi0n,15.131070995458623
Chi0v,15.131070995458623
Chi1n,8.969675111979447
Chi1v,8.969675111979447
Chi2n,6.230251813418851
Chi2v,6.230251813418851
Chi3n,4.277625489473059
Chi3v,4.277625489473059
Chi4n,2.9317305077885982
Chi4v,2.9317305077885982
MolMR,111.60040000000002
MolWt,369.4240000000001
fr_SH,0
Kappa1,17.54867327848884
Kappa2,8.223085178293198
Kappa3,4.097484111330266
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1091.7140721580117
MolLogP,5.457800000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.4708856474636969
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,6.606881964512918
SMR_VSA6,10.633577208012662
SMR_VSA7,96.68943402177264
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,162.55157996986665
NHOHCount,2
PEOE_VSA1,10.05365155780638
PEOE_VSA2,5.316788604006331
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,66.73003775307771
PEOE_VSA7,29.148776911546623
PEOE_VSA8,11.583067786077873
PEOE_VSA9,5.687386274683562
RingCount,4
