DLiP-ID,C001ZU
DLiP-Mol-ID,27360
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10N2O2/c16-11-5-4-9(7-12(11)17)10-8-15-6-2-1-3-13(15)14-10/h1-8,16-17H"
Standard Inchi Key(RDKit),JFYGSKNPLRBMMG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1ccc(-c2cn3ccccc3n2)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),226.235
MW Monoisotopic(RDKit),226.07422756
MolLogP(RDKit),2.4125
XLogP(SDF),
XLogP(CDK),3.686
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),57.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.626310810063625
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,14257.453068448714
qed,0.626310810063625
Chi0,11.828062645816686
Chi1,8.237183443017882
TPSA,57.760000000000005
Chi0n,8.907656535516841
Chi0v,8.907656535516841
Chi1n,5.199815909146429
Chi1v,5.199815909146429
Chi2n,3.795743801399432
