DLiP-ID,C000EY
DLiP-Mol-ID,30725
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H38NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)20-17(19(22)23)16-27-28(24,25)26/h17H,2-16H2,1H3,(H,20,21)(H,22,23)(H2,24,25,26)/t17-/m0/s1"
Standard Inchi Key(RDKit),HSMUPNYJCMYKJH-KRWDZBQOSA-N
Canonical SMILES(RDKit),CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)(O)O)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),423.487
MW Monoisotopic(RDKit),423.238589186
MolLogP(RDKit),4.1464
XLogP(SDF),
XLogP(CDK),4.907
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),133.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),19
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.181131312636874
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,657676.9607143967
qed,0.18113131263687424
Chi0,21.25286608774019
Chi1,13.259037474537486
TPSA,133.16
Chi0n,17.10579953084313
Chi0v,18.00022672184304
Chi1n,10.481937325912073
Chi1v,12.012234069252296
Chi2n,7.237321177638158
Chi2v,8.476673968827468
Chi3n,4.550083313695977
Chi3v,5.03550387521076
Chi4n,2.916146234905539
Chi4v,3.2594088286838776
MolMR,107.87460000000009
MolWt,423.4870000000001
fr_SH,0
Kappa1,27.049999999999997
Kappa2,16.955085299540247
Kappa3,18.41501854023087
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,467.19849412119737
MolLogP,4.1464000000000025
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,3.5980567695568415
SMR_VSA1,33.571220415132444
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,102.85708074980275
SMR_VSA6,6.606881964512918
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.2269726312341
NHOHCount,4
PEOE_VSA1,20.21013920435199
PEOE_VSA2,9.318284345783638
PEOE_VSA3,9.35958546900315
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,83.97359667480276
PEOE_VSA7,6.4208216229260096
PEOE_VSA8,6.4208216229260096
PEOE_VSA9,6.606881964512918
RingCount,0
SMR_VSA10,19.699182140435525
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,423.23858918599984
NumHDonors,4
PEOE_VSA10,0.0
PEOE_VSA11,6.041840829147961
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,13.79200241108402
SlogP_VSA1,5.316788604006331
SlogP_VSA2,39.41855841130989
SlogP_VSA3,18.67786981478679
SlogP_VSA4,0.0
