DLiP-ID,T003M3
DLiP-Mol-ID,20486
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H28O3/c1-10-8-20-7-4-12-18(2,17(22)23)6-5-13(21)19(12,3)16(20)15-11(9-20)14(10)15/h8,11-16,21H,4-7,9H2,1-3H3,(H,22,23)/t11-,12+,13-,14-,15+,16-,18-,19-,20+/m1/s1"
Standard Inchi Key(RDKit),LSWSPODOCUMJDU-VFJLXHFZSA-N
Canonical SMILES(RDKit),CC1=C[C@]23CC[C@@H]4[C@@](C)([C@H]2[C@H]2[C@H](C3)[C@@H]12)[C@H](O)CC[C@@]4(C)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),316.441
MW Monoisotopic(RDKit),316.203844756
MolLogP(RDKit),3.4767
XLogP(SDF),
XLogP(CDK),3.839
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),57.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.728253924052745
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bcl-2 and Bcl-XL with BAX; BAK and BID
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,281023.8224137521
qed,0.7282539240527446
