DLiP-ID,T004KH
DLiP-Mol-ID,19336
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H27N5O3/c32-25(33)15-19(20-13-18-5-1-2-8-22(18)28-16-20)14-24-30-23(31-34-24)9-3-7-21-11-10-17-6-4-12-27-26(17)29-21/h1-2,5,8,10-11,13,16,19H,3-4,6-7,9,12,14-15H2,(H,27,29)(H,32,33)"
Standard Inchi Key(RDKit),OKEKRFLAQTYOCR-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(Cc1nc(CCCc2ccc3c(n2)NCCC3)no1)c1cnc2ccccc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),457.534
MW Monoisotopic(RDKit),457.211389724
MolLogP(RDKit),4.3472
XLogP(SDF),
XLogP(CDK),3.355
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),114.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.381333688630861
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,93738728.4971483
qed,0.38133368863086053
Chi0,23.3298518780003
Chi1,16.63616292858424
TPSA,114.03
Chi0n,18.905571230626535
