DLiP-ID,T004QH
DLiP-Mol-ID,20761
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H21Cl2N3O4/c24-17-4-2-5-18(25)21(17)22(29)28-19(23(30)31)13-14-7-9-16(10-8-14)32-12-11-15-3-1-6-20(26)27-15/h1-10,19H,11-13H2,(H2,26,27)(H,28,29)(H,30,31)/t19-/m0/s1"
Standard Inchi Key(RDKit),OVSFRNHGVCEDQP-IBGZPJMESA-N
Canonical SMILES(RDKit),Nc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),474.344
MW Monoisotopic(RDKit),473.090911512
MolLogP(RDKit),4.0178
XLogP(SDF),
XLogP(CDK),2.389
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),114.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.431810739771391
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11793741.124959933
qed,0.4318107397713914
Chi0,23.087211190881018
Chi1,15.329407595892901
TPSA,114.53999999999999
Chi0n,16.924624582245112
Chi0v,18.436482474282023
Chi1n,9.740613988743124
Chi1v,10.496542934761578
Chi2n,6.961270182764707
Chi2v,7.775670436245919
Chi3n,4.6116589023959245
Chi3v,5.241599690744634
Chi4n,3.0135142524521044
Chi4v,3.5826017271512574
MolMR,123.3464
MolWt,474.3440000000001
fr_SH,0
Kappa1,23.374730436438565
Kappa2,10.837401393343873
Kappa3,6.354655462222984
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1086.4005674374625
MolLogP,4.017800000000002
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.5789165917851389
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,18.88348407499998
SMR_VSA6,12.340549441675103
