DLiP-ID,T003UV
DLiP-Mol-ID,20857
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H35N3O4/c1-3-15-27(21(28)12-8-5-9-14-25)23-18(2)17-20(19-10-6-4-7-11-19)26(24(23)31)16-13-22(29)30/h4,6-7,10-11,20H,3,5,8-9,12-17,25H2,1-2H3,(H,29,30)"
Standard Inchi Key(RDKit),MJSZJOKVUNPGJV-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCN(C(=O)CCCCCN)C1=C(C)CC(c2ccccc2)N(CCC(=O)O)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),429.561
MW Monoisotopic(RDKit),429.2627566
MolLogP(RDKit),3.4664
XLogP(SDF),
XLogP(CDK),1.911
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),103.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.495263481101363
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5943216.12036406
qed,0.49526348110136326
Chi0,22.80275414050485
Chi1,14.900284565365466
TPSA,103.94
Chi0n,18.67890535408432
Chi0v,18.67890535408432
Chi1n,11.181076319488414
Chi1v,11.181076319488414
Chi2n,8.046539638674012
Chi2v,8.046539638674012
Chi3n,5.6073131839053465
Chi3v,5.6073131839053465
Chi4n,4.066413483028171
Chi4v,4.066413483028171
MolMR,119.9922000000001
MolWt,429.56100000000015
fr_SH,0
Kappa1,24.59810845093786
Kappa2,12.248797563226763
Kappa3,6.655297638058501
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,791.2739643345533
MolLogP,3.466400000000002
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.335883095959551
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,5.733667477162185
SMR_VSA5,64.83506658901128
SMR_VSA6,19.634269217737724
SMR_VSA7,47.165430677130146
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
