DLiP-ID,T001DL
DLiP-Mol-ID,17018
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26N4O2/c1-15-8-10-21(17(3)12-15)27-23(29)25-19-6-5-7-20(14-19)26-24(30)28-22-11-9-16(2)13-18(22)4/h5-14H,1-4H3,(H2,25,27,29)(H2,26,28,30)"
Standard Inchi Key(RDKit),DWBRZVRBQYYJFR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(NC(=O)Nc2cccc(NC(=O)Nc3ccc(C)cc3C)c2)c(C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.498
MW Monoisotopic(RDKit),402.205576072
MolLogP(RDKit),6.20828
XLogP(SDF),
XLogP(CDK),4.268
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),82.26
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.418420243892579
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,4016431.3361188225
qed,0.41842024389257854
Chi0,21.672997628507925
Chi1,14.295734091081686
TPSA,82.26
Chi0n,17.589999272823988
Chi0v,17.589999272823988
Chi1n,9.705683238934954
Chi1v,9.705683238934954
Chi2n,7.375804229295569
Chi2v,7.375804229295569
Chi3n,4.638525221990436
Chi3v,4.638525221990436
Chi4n,3.1517122408474805
Chi4v,3.1517122408474805
MolMR,123.55680000000002
MolWt,402.4980000000002
fr_SH,0
Kappa1,20.922046174739705
Kappa2,9.132278903987528
Kappa3,5.60657013481173
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1009.5640813689431
MolLogP,6.208280000000004
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,2
BalabanJ,1.6074043404018095
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,27.694948798762496
SMR_VSA6,21.267154416025324
SMR_VSA7,82.9174766514041
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.2577371525244
NHOHCount,4
PEOE_VSA1,21.267154416025324
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,41.45873832570204
PEOE_VSA7,69.15368712446454
PEOE_VSA8,22.74954509873425
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,34.811774123410395
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,402.205576072
