DLiP-ID,C0008G
DLiP-Mol-ID,30434
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H
Standard Inchi Key(RDKit),IZUPBVBPLAPZRR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),266.338
MW Monoisotopic(RDKit),263.847003052
MolLogP(RDKit),4.6592
XLogP(SDF),
XLogP(CDK),4.726
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),20.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),12
QED Weighted(RDKit),0.534640123500862
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,416.3143647971509
qed,0.5346401235008617
Chi0,9.464101615137755
Chi1,5.464101615137754
TPSA,20.23
Chi0n,5.3370359605460935
Chi0v,9.116680690638367
Chi1n,2.668517980273047
Chi1v,4.558340345319183
Chi2n,1.9185179802730463
Chi2v,3.808340345319184
Chi3n,1.186631558466518
Chi3v,3.4434307347924333
Chi4n,0.593315779233259
Chi4v,1.7217153673962164
MolMR,53.15680000000001
MolWt,266.33799999999997
fr_SH,0
Kappa1,10.550192461908578
Kappa2,3.68572552572852
Kappa3,1.5681178591367897
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,230.20322477240757
MolLogP,4.6592
NOCount,1
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.6035674514745475
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,25.11316656870663
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
