DLiP-ID,T007QQ
DLiP-Mol-ID,25987
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H19N5O/c1-28-18-12-10-16(11-13-18)15-24-22-20(17-7-3-2-4-8-17)26-27-21(25-22)19-9-5-6-14-23-19/h2-14H,15H2,1H3,(H,24,25,27)"
Standard Inchi Key(RDKit),YOVHNTUSXOLMEB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(CNc2nc(-c3ccccn3)nnc2-c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),369.428
MW Monoisotopic(RDKit),369.158960228
MolLogP(RDKit),4.2213
XLogP(SDF),
XLogP(CDK),3.793
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.548502119523746
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,4371990.544713911
qed,0.5485021195237461
Chi0,19.18358750805833
Chi1,13.830831138144495
TPSA,72.82
Chi0n,15.409762953115383
Chi0v,15.409762953115383
Chi1n,8.916438037543088
Chi1v,8.916438037543088
Chi2n,6.115255183139911
Chi2v,6.115255183139911
Chi3n,4.246959600647398
Chi3v,4.246959600647398
Chi4n,2.7723658965103457
Chi4v,2.7723658965103457
MolMR,108.81469999999999
MolWt,369.4280000000001
fr_SH,0
Kappa1,17.60570934256055
Kappa2,8.262434963579603
Kappa3,3.959289535086744
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1037.486144911315
MolLogP,4.221300000000003
NOCount,6
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.6658441145865828
