DLiP-ID,P000DI
DLiP-Mol-ID,25268
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C6H13NO/c1-6(2,3)5(8)7-4/h1-4H3,(H,7,8)"
Standard Inchi Key(RDKit),QMKKJBRRKIKWFK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CNC(=O)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),115.176
MW Monoisotopic(RDKit),115.099714036
MolLogP(RDKit),0.7785
XLogP(SDF),
XLogP(CDK),0.457
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),8
QED Weighted(RDKit),0.496300504241157
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BAZ2B/H4
Common Target Pref Name,BAZ2B/H4
RDKit Descriptors
Ipc,35.64737584844357
qed,0.496300504241157
Chi0,6.784457050376173
Chi1,3.4813804754348494
TPSA,29.1
Chi0n,5.908248290463863
Chi0v,5.908248290463863
Chi1n,2.7041241452319316
Chi1v,2.7041241452319316
Chi2n,2.8291241452319316
Chi2v,2.8291241452319316
Chi3n,0.9082482904638631
Chi3v,0.9082482904638631
Chi4n,0.375
Chi4v,0.375
MolMR,33.52169999999999
MolWt,115.17599999999999
fr_SH,0
Kappa1,7.470000000000001
Kappa2,2.158633811658892
Kappa3,1.958669537588103
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,91.19188266301451
MolLogP,0.7785
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.823378455220923
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,5.41499046939678
SMR_VSA5,20.771211599071872
SMR_VSA6,7.04767198267719
