DLiP-ID,P000C1
DLiP-Mol-ID,24932
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C7H9NO2/c1-5-2-3-7(10)6(4-9)8-5/h2-3,9-10H,4H2,1H3"
Standard Inchi Key(RDKit),PAGTXDLKXRBHFL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(O)c(CO)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),139.154
MW Monoisotopic(RDKit),139.063328528
MolLogP(RDKit),0.58792
XLogP(SDF),
XLogP(CDK),0.386
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),10
QED Weighted(RDKit),0.598251731372343
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BAZ2B/H4
Common Target Pref Name,BAZ2B/H4
RDKit Descriptors
Ipc,190.28823830466132
qed,0.5982517313723433
Chi0,7.560477932315068
Chi1,4.736382105218448
TPSA,53.35
Chi0n,5.703448106065673
Chi0v,5.703448106065673
Chi1n,3.001285152383008
Chi1v,3.001285152383008
Chi2n,2.0765663806611365
Chi2v,2.0765663806611365
Chi3n,1.2391526502666332
Chi3v,1.2391526502666332
Chi4n,0.7195028980135421
Chi4v,0.7195028980135421
MolMR,36.5616
MolWt,139.154
fr_SH,0
Kappa1,7.022233445566778
Kappa2,2.6626191750189108
Kappa3,1.2473799215558994
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,235.04775799182192
MolLogP,0.5879199999999998
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,3.0906836464581975
SMR_VSA1,10.213054789681411
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,13.530619164203543
SMR_VSA6,0.0
SMR_VSA7,23.520590126620142
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,58.969402833628706
NHOHCount,2
PEOE_VSA1,10.213054789681411
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,19.056471336613843
PEOE_VSA8,5.693927994848461
PEOE_VSA9,6.606881964512918
RingCount,1
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,139.063328528
NumHDonors,2
PEOE_VSA10,11.443439828132366
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,15.197033310628619
SlogP_VSA3,6.606881964512918
SlogP_VSA4,6.923737199690624
SlogP_VSA5,11.387855989696922
SlogP_VSA6,12.13273413692322
SlogP_VSA7,0.0
SlogP_VSA8,0.0
