DLiP-ID,C000IL
DLiP-Mol-ID,30884
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11BrN2O2S/c16-12-6-8-13(9-7-12)21(19,20)18-14-5-1-3-11-4-2-10-17-15(11)14/h1-10,18H"
Standard Inchi Key(RDKit),FQIIAMSIGINTCM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(Nc1cccc2cccnc12)c1ccc(Br)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),363.236
MW Monoisotopic(RDKit),361.972460692
MolLogP(RDKit),3.7981
XLogP(SDF),
XLogP(CDK),3.616
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.770185705425504
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,70284.38108885392
qed,0.7701857054255039
Chi0,14.872032720186704
Chi1,10.060480075219148
TPSA,59.06
Chi0n,10.823425631797035
Chi0v,13.225918751839465
Chi1n,6.183095489962642
Chi1v,8.459257007114386
Chi2n,4.440113567380339
Chi2v,7.038191337581547
Chi3n,3.0009770743178845
Chi3v,4.911052496283651
Chi4n,2.0040051420435328
Chi4v,3.334807722074397
MolMR,86.69350000000001
MolWt,363.23600000000005
fr_SH,0
Kappa1,14.035697820537289
Kappa2,5.46024510997484
Kappa3,2.910148087059415
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,887.7004974705451
MolLogP,3.7981000000000025
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.032738239613086
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,4.722094864452088
SMR_VSA7,65.26686670359999
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,130.56799551990719
NHOHCount,1
PEOE_VSA1,0.0
PEOE_VSA2,9.706073385399296
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,34.12904510333418
PEOE_VSA7,36.39820241076966
PEOE_VSA8,16.055787301910286
PEOE_VSA9,16.0995704678176
RingCount,3
SMR_VSA10,42.54354625812155
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,361.972460692
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,13.401775505276145
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,70.16235017911777
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
