DLiP-ID,C001SG
DLiP-Mol-ID,32849
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N2O3/c22-18(20-11-5-7-14-6-1-2-8-15(14)20)12-21-16-9-3-4-10-17(16)24-13-19(21)23/h1-4,6,8-10H,5,7,11-13H2"
Standard Inchi Key(RDKit),DCKDFJFZZIOZJX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CN1C(=O)COc2ccccc21)N1CCCc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),322.364
MW Monoisotopic(RDKit),322.131742436
MolLogP(RDKit),2.3914
XLogP(SDF),
XLogP(CDK),1.879
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),49.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.852901515254258
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,504489.20749252307
qed,0.8529015152542584
Chi0,16.518297090128677
Chi1,11.737183443017884
TPSA,49.85
Chi0n,13.273508121841253
Chi0v,13.273508121841253
Chi1n,8.143291003483274
Chi1v,8.143291003483274
Chi2n,6.013925647792072
Chi2v,6.013925647792072
Chi3n,4.5129272288993585
Chi3v,4.5129272288993585
Chi4n,3.3405987771945007
Chi4v,3.3405987771945007
MolMR,91.40600000000003
MolWt,322.36400000000003
fr_SH,0
Kappa1,14.752162462260914
Kappa2,5.998279482663834
Kappa3,2.5175322732145937
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,802.7038390607369
MolLogP,2.3914
NOCount,5
fr_Ar_N,0
fr_COO2,0
