DLiP-ID,C002VQ
DLiP-Mol-ID,33236
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H14O5/c1-11(19)22-18-16(20)14-5-3-4-6-15(14)23-17(18)12-7-9-13(21-2)10-8-12/h3-10H,1-2H3"
Standard Inchi Key(RDKit),MCBKVTJBOCDHFI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2oc3ccccc3c(=O)c2OC(C)=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),310.305
MW Monoisotopic(RDKit),310.084123548
MolLogP(RDKit),3.3939
XLogP(SDF),
XLogP(CDK),4.586
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),65.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.693706332805991
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,195228.27430218676
qed,0.6937063328059908
Chi0,16.396976746569035
Chi1,11.096555450524587
TPSA,65.74000000000001
Chi0n,12.660043605836325
Chi0v,12.660043605836325
Chi1n,6.98583478132293
Chi1v,6.98583478132293
Chi2n,4.907739162446211
Chi2v,4.907739162446211
Chi3n,3.354160884687837
Chi3v,3.354160884687837
Chi4n,2.293799431503811
Chi4v,2.293799431503811
MolMR,85.78100000000002
MolWt,310.305
fr_SH,0
Kappa1,14.84056715861261
Kappa2,5.963090181594338
Kappa3,2.8080005374899226
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,922.2899644106502
MolLogP,3.393900000000002
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2762664433583972
SMR_VSA1,18.685414028725265
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,7.109797541277533
SMR_VSA7,58.754264123665244
SMR_VSA8,0.0
SMR_VSA9,22.822722577139245
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.61993968359639
NHOHCount,0
PEOE_VSA1,13.890876844653445
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,36.39820241076966
PEOE_VSA8,12.487188691387619
PEOE_VSA9,12.49602175574233
RingCount,3
SMR_VSA10,16.938549644058888
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,310.084123548
NumHDonors,0
PEOE_VSA10,11.332531974926148
PEOE_VSA11,5.760247418874442
