DLiP-ID,T004QQ
DLiP-Mol-ID,20876
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H22N2O2/c1-10-8-12-13(9-11(10)2)21-15-14(20-12)18(5)6-7-19(15,16(22)23)17(18,3)4/h8-9H,6-7H2,1-5H3,(H,22,23)/t18?,19-/m1/s1"
Standard Inchi Key(RDKit),OVYNUABZJBLWSS-MUMRKEEXSA-N
Canonical SMILES(RDKit),Cc1cc2nc3c(nc2cc1C)[C@@]1(C(=O)O)CCC3(C)C1(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),310.397
MW Monoisotopic(RDKit),310.168127944
MolLogP(RDKit),3.66034
XLogP(SDF),
XLogP(CDK),3.414
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.872815162730675
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rad51/BRCA2
Common Target Pref Name,Rad51/BRCA2
RDKit Descriptors
Ipc,162016.05864932574
qed,0.8728151627306749
Chi0,16.78409257144667
Chi1,10.648519585440397
TPSA,63.08
Chi0n,14.318803177716086
Chi0v,14.318803177716086
Chi1n,8.183965453547625
Chi1v,8.183965453547625
Chi2n,8.013591185206081
Chi2v,8.013591185206081
Chi3n,7.0180777491913835
Chi3v,7.0180777491913835
Chi4n,4.83170967195575
Chi4v,4.83170967195575
MolMR,88.69280000000005
MolWt,310.39700000000005
fr_SH,0
Kappa1,14.611460544273884
Kappa2,3.917561596687458
Kappa3,1.3664591590565562
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,886.558877423357
MolLogP,3.6603400000000024
NOCount,4
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,2.129902211653749
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,5.41499046939678
