DLiP-ID,P000C5
DLiP-Mol-ID,24944
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H25Cl2N3O3/c26-16-3-1-2-15(10-16)22-23-20(8-9-29(23)13-21(31)32)30(12-14-4-5-14)25(22)18-7-6-17(27)11-19(18)28-24(25)33/h1-3,6-7,10-11,14,20,22-23H,4-5,8-9,12-13H2,(H,28,33)(H,31,32)/t20-,22-,23+,25+/m0/s1"
Standard Inchi Key(RDKit),PECRYANCKVXSRI-FDHFVPJWSA-N
Canonical SMILES(RDKit),O=C(O)CN1CC[C@H]2[C@@H]1[C@H](c1cccc(Cl)c1)[C@]1(C(=O)Nc3cc(Cl)ccc31)N2CC1CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),486.399
MW Monoisotopic(RDKit),485.12729702
MolLogP(RDKit),4.1777
XLogP(SDF),
XLogP(CDK),3.412
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),72.88
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.663877711230442
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HDM2/P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,49600868.68770596
qed,0.6638777112304411
Chi0,22.9050484360768
Chi1,15.88992111267692
TPSA,72.88
Chi0n,18.007559961651225
Chi0v,19.519417853688132
Chi1n,11.488472001581407
Chi1v,12.244400947599862
Chi2n,9.749654729050578
Chi2v,10.622526289994545
Chi3n,7.857487402497039
Chi3v,8.327681608072517
Chi4n,6.562458017071108
Chi4v,6.933288495439051
MolMR,126.78450000000004
MolWt,486.39900000000034
fr_SH,0
Kappa1,21.415765819174286
Kappa2,7.702927237444143
Kappa3,3.2237057228211974
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1153.467106517431
MolLogP,4.177700000000002
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.592423999193296
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,5.917906046161393
