DLiP-ID,J0005R
DLiP-Mol-ID,26921
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H25F4N5O/c26-21-10-20(25(27,28)29)11-22(12-21)32-24(35)34(16-18-4-2-1-3-5-18)23-6-8-33(9-7-23)15-19-13-30-17-31-14-19/h1-5,10-14,17,23H,6-9,15-16H2,(H,32,35)"
Standard Inchi Key(RDKit),JNTRYAWBQCLUFB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cc(F)cc(C(F)(F)F)c1)N(Cc1ccccc1)C1CCN(Cc2cncnc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),487.501
MW Monoisotopic(RDKit),487.1995233
MolLogP(RDKit),5.33320000000001
XLogP(SDF),
XLogP(CDK),3.667
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),61.36
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.477555605308774
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,66532722.71414252
qed,0.4775556053087744
Chi0,24.838288046437572
Chi1,16.77500814891799
TPSA,61.36000000000001
Chi0n,18.8798044818954
Chi0v,18.8798044818954
Chi1n,11.233253443199258
Chi1v,11.233253443199258
Chi2n,8.524040396076371
Chi2v,8.524040396076371
Chi3n,5.9510906918186945
Chi3v,5.9510906918186945
Chi4n,4.226524850736658
Chi4v,4.226524850736658
MolMR,122.73670000000004
MolWt,487.50100000000026
fr_SH,0
Kappa1,24.59003146995546
Kappa2,10.813067279281263
Kappa3,6.754099453678667
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1119.7060207739776
MolLogP,5.333200000000005
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,1
BalabanJ,1.4800531609659717
SMR_VSA1,22.3561973747711
SMR_VSA2,0.0
SMR_VSA3,19.76777650359537
SMR_VSA4,0.0
SMR_VSA5,38.14929540426861
SMR_VSA6,18.406301415831482
SMR_VSA7,89.75951908182044
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,200.1567286053218
NHOHCount,1
PEOE_VSA1,10.216698334856808
PEOE_VSA2,4.899909730850478
PEOE_VSA3,19.152909273641058
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,36.60419594293384
PEOE_VSA8,55.86539136240497
