DLiP-ID,I000C7
DLiP-Mol-ID,28180
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H22F2N4O/c25-18-11-15(30-21-8-10-27-23-17(21)5-6-22(23)31)12-19(26)24(18)28-9-7-14-13-29-20-4-2-1-3-16(14)20/h1-4,8,10-13,22,28-29,31H,5-7,9H2,(H,27,30)/t22-/m1/s1"
Standard Inchi Key(RDKit),FUHBVHYUQXCKND-JOCHJYFZSA-N
Canonical SMILES(RDKit),O[C@@H]1CCc2c(Nc3cc(F)c(NCCc4c[nH]c5ccccc45)c(F)c3)ccnc21
SMILES(SDF),
MW(SDF),
MW(RDKit),420.463
MW Monoisotopic(RDKit),420.176167764
MolLogP(RDKit),5.2189
XLogP(SDF),
XLogP(CDK),3.511
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),72.97
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.345166619202084
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,21074150.749626264
qed,0.3451666192020837
Chi0,21.371668241257193
Chi1,15.097356788324023
TPSA,72.97
Chi0n,16.75228595366082
Chi0v,16.75228595366082
Chi1n,10.306962191778675
Chi1v,10.306962191778675
Chi2n,7.752945373701524
Chi2v,7.752945373701524
Chi3n,5.7646888422962785
Chi3v,5.7646888422962785
Chi4n,4.223675511318148
Chi4v,4.223675511318148
MolMR,117.65090000000002
