DLiP-ID,C001EN
DLiP-Mol-ID,32262
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17NO5/c1-23-15-9-7-12(11-16(15)24-2)8-10-17(20)19-14-6-4-3-5-13(14)18(21)22/h3-11H,1-2H3,(H,19,20)(H,21,22)/b10-8+"
Standard Inchi Key(RDKit),NZHGWWWHIYHZNX-CSKARUKUSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),327.336
MW Monoisotopic(RDKit),327.110672644
MolLogP(RDKit),3.0539
XLogP(SDF),
XLogP(CDK),2.871
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),84.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.79662777144132
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,233254.65388235476
qed,0.7966277714413199
Chi0,17.526733258565955
Chi1,11.545243855508332
TPSA,84.86
Chi0n,13.276359180062045
Chi0v,13.276359180062045
