DLiP-ID,T002ME
DLiP-Mol-ID,18944
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24N2O3/c24-20(26-16-8-11-17-9-3-1-4-10-17)19-14-7-15-23(19)21(25)22-18-12-5-2-6-13-18/h1-6,9-10,12-13,19H,7-8,11,14-16H2,(H,22,25)/t19-/m0/s1"
Standard Inchi Key(RDKit),IRKUHIYIDSNVGK-IBGZPJMESA-N
Canonical SMILES(RDKit),O=C(OCCCc1ccccc1)[C@@H]1CCCN1C(=O)Nc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),352.434
MW Monoisotopic(RDKit),352.178692628
MolLogP(RDKit),3.8589
XLogP(SDF),
XLogP(CDK),3.596
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),58.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.634319457930886
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,1339964.1861010743
qed,0.6343194579308863
Chi0,18.192023676495612
Chi1,12.737183443017884
TPSA,58.64
Chi0n,14.765452115096721
