DLiP-ID,C000IX
DLiP-Mol-ID,30896
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13N3O4/c21-14-11-8-4-5-9-12(11)18-16(23)13(14)17(24)20-19-15(22)10-6-2-1-3-7-10/h1-9H,(H,19,22)(H,20,24)(H2,18,21,23)"
Standard Inchi Key(RDKit),WTYAIIYIQSJVCT-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NNC(=O)c1c(O)c2ccccc2[nH]c1=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),323.308
MW Monoisotopic(RDKit),323.090605896
MolLogP(RDKit),1.3085
XLogP(SDF),
XLogP(CDK),4.481
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),111.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.532735512762596
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,323804.8565353154
qed,0.532735512762596
Chi0,17.10408352775558
Chi1,11.57538740046941
TPSA,111.28999999999999
Chi0n,12.368110889598183
Chi0v,12.368110889598183
Chi1n,7.074013105158359
Chi1v,7.074013105158359
Chi2n,4.9975884192129225
Chi2v,4.9975884192129225
Chi3n,3.4468528428514253
Chi3v,3.4468528428514253
Chi4n,2.2740147221921485
Chi4v,2.2740147221921485
MolMR,87.6079
MolWt,323.30800000000005
fr_SH,0
Kappa1,15.292012937649021
Kappa2,6.250566377987634
Kappa3,2.8223482682145056
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,980.0422557687771
MolLogP,1.3085000000000004
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8426216952253307
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,15.835561315167979
SMR_VSA4,0.0
SMR_VSA5,0.0
