DLiP-ID,T007EZ
DLiP-Mol-ID,25480
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22N4O5S2/c1-31-16-11-12-20(32-2)18(14-16)24-23(28)19(13-15-7-4-3-5-8-15)27-34(29,30)21-10-6-9-17-22(21)26-33-25-17/h3-12,14,19,27H,13H2,1-2H3,(H,24,28)"
Standard Inchi Key(RDKit),XRXDTEFHUOJVOC-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(OC)c(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccc3nsnc23)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),498.586
MW Monoisotopic(RDKit),498.103161804
MolLogP(RDKit),3.2368
XLogP(SDF),
XLogP(CDK),3.597
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),119.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.363538444030815
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,57896227.8006562
qed,0.3635384440308155
Chi0,24.131181265251033
Chi1,16.40734662796981
TPSA,119.50999999999999
Chi0n,18.387475235709015
Chi0v,20.020468397564468
Chi1n,10.214698967929383
Chi1v,12.428158958864
Chi2n,7.307166519409704
Chi2v,9.518016448674878
Chi3n,5.0995709932599596
Chi3v,7.145421748560806
Chi4n,3.4182719752932234
Chi4v,5.3800810782806465
MolMR,129.8462
MolWt,498.5860000000001
fr_SH,0
Kappa1,23.612583720415916
Kappa2,10.160982757584021
Kappa3,5.164822006812078
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1407.4201291063177
MolLogP,3.2368000000000015
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.6693110808278262
SMR_VSA1,22.686060076000857
SMR_VSA2,0.0
SMR_VSA3,13.469174827284988
SMR_VSA4,0.0
SMR_VSA5,17.358145927591746
SMR_VSA6,19.536383686561397
SMR_VSA7,72.29348924477472
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,200.66291866422736
NHOHCount,2
PEOE_VSA1,14.790514511606428
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,13.469174827284988
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,36.249741388469445
PEOE_VSA8,6.06636706846161
PEOE_VSA9,31.63516870243724
RingCount,4
SMR_VSA10,44.37944593787378
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,498.103161804
NumHDonors,2
PEOE_VSA10,33.469749406466065
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,19.512609376058517
SlogP_VSA2,43.33349258821637
SlogP_VSA3,21.238649960405414
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,71.6255212285955
SlogP_VSA7,0.0
SlogP_VSA8,11.033401435232523
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,2
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,21.97231171190705
EState_VSA2,16.833005816060044
EState_VSA3,22.703110658867637
EState_VSA4,17.291638836895608
EState_VSA5,20.285962151016676
