DLiP-ID,C100JK
DLiP-Mol-ID,36484
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12FNO3/c1-19-12-4-2-3-10(7-12)9-17-13-6-5-11(16)8-14(13)20-15(17)18/h2-8H,9H2,1H3"
Standard Inchi Key(RDKit),PMUMLONPMABYTE-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(Cn2c(=O)oc3cc(F)ccc32)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),273.263
MW Monoisotopic(RDKit),273.080121464
MolLogP(RDKit),2.7905
XLogP(SDF),
XLogP(CDK),2.919
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),44.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.736722944942135
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,52736.03083687398
qed,0.7367229449421352
Chi0,14.11251969619286
Chi1,9.669035095596021
TPSA,44.370000000000005
Chi0n,10.798481605414704
Chi0v,10.798481605414704
Chi1n,6.090122936764777
Chi1v,6.090122936764777
Chi2n,4.417690298160367
Chi2v,4.417690298160367
Chi3n,3.10514184522556
Chi3v,3.10514184522556
Chi4n,2.1433212154206696
Chi4v,2.1433212154206696
MolMR,72.528
MolWt,273.263
fr_SH,0
Kappa1,12.472616979119039
Kappa2,4.845484638620356
Kappa3,2.1787877481941407
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,819.3418446326609
MolLogP,2.7905000000000015
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0567628605319577
SMR_VSA1,13.544428938528215
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,7.109797541277533
SMR_VSA7,64.39584181827544
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
