DLiP-ID,T000KQ
DLiP-Mol-ID,16142
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H21F3N4O4/c1-30(2)22(33)34-15-9-7-14(8-10-15)11-19(21(31)32)29-20-17(12-27-13-28-20)16-5-3-4-6-18(16)23(24,25)26/h3-10,12-13,19H,11H2,1-2H3,(H,31,32)(H,27,28,29)/t19-/m0/s1"
Standard Inchi Key(RDKit),BQSRERXVYLPKDS-IBGZPJMESA-N
Canonical SMILES(RDKit),CN(C)C(=O)Oc1ccc(C[C@H](Nc2ncncc2-c2ccccc2C(F)(F)F)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),474.439
MW Monoisotopic(RDKit),474.151489812
MolLogP(RDKit),4.3306
XLogP(SDF),
XLogP(CDK),1.722
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),104.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.525230028894399
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,24551505.85944042
qed,0.5252300288943991
Chi0,24.88010440969447
Chi1,16.057569213703694
TPSA,104.64999999999999
Chi0n,18.205452414691536
Chi0v,18.205452414691536
Chi1n,9.999832103010023
Chi1v,9.999832103010023
Chi2n,7.473997497378333
Chi2v,7.473997497378333
Chi3n,4.777425885364353
Chi3v,4.777425885364353
Chi4n,3.093416424751968
Chi4v,3.093416424751968
MolMR,117.37350000000004
MolWt,474.43900000000014
fr_SH,0
Kappa1,24.491596573419855
Kappa2,10.194760464207736
Kappa3,5.999389421722947
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1167.3768722735906
MolLogP,4.330600000000002
NOCount,8
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.8474370670897242
SMR_VSA1,32.60370985980885
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,18.638960969517445
