DLiP-ID,T000UM
DLiP-Mol-ID,16578
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H30N4O5/c29-21(11-5-4-10-19-13-12-18-9-6-14-25-22(18)27-19)26-15-20(23(30)31)28-24(32)33-16-17-7-2-1-3-8-17/h1-3,7-8,12-13,20H,4-6,9-11,14-16H2,(H,25,27)(H,26,29)(H,28,32)(H,30,31)/t20-/m0/s1"
Standard Inchi Key(RDKit),CKSXICJFAQGSNU-FQEVSTJZSA-N
Canonical SMILES(RDKit),O=C(CCCCc1ccc2c(n1)NCCC2)NC[C@H](NC(=O)OCc1ccccc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),454.527
MW Monoisotopic(RDKit),454.22162006
MolLogP(RDKit),2.6483
XLogP(SDF),
XLogP(CDK),0.239000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),129.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.384153474647444
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,25331215.93084467
qed,0.3841534746474437
Chi0,23.468044558434503
Chi1,16.00804039084698
TPSA,129.65
Chi0n,18.510183537051304
Chi0v,18.510183537051304
Chi1n,11.204278217031527
Chi1v,11.204278217031527
Chi2n,7.9487257195743535
Chi2v,7.9487257195743535
Chi3n,5.34485822367703
Chi3v,5.34485822367703
Chi4n,3.511138843962471
Chi4v,3.511138843962471
MolMR,122.79890000000005
MolWt,454.52700000000016
fr_SH,0
Kappa1,24.030936463775323
Kappa2,12.425054605945062
Kappa3,8.09952970171561
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,951.1256919637499
MolLogP,2.6483
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.3266655683535924
SMR_VSA1,24.227001900856223
SMR_VSA2,0.0
SMR_VSA3,15.617555728959871
SMR_VSA4,0.0
SMR_VSA5,51.17365253121694
SMR_VSA6,18.406301415831482
SMR_VSA7,59.28540045747372
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,192.48849347279247
NHOHCount,4
PEOE_VSA1,25.793756160659747
PEOE_VSA2,4.794537184071822
PEOE_VSA3,14.573052889090853
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,49.29737816648564
PEOE_VSA8,25.204262429599623
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,23.787587866076798
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,454.2216200599999
NumHDonors,4
PEOE_VSA10,18.46658557149591
PEOE_VSA11,0.0
